Ht,Wt,yd40,Vertical,Bench,BroadJump,Cone3,Shuttle,Draftedyes
6.167,254,4.68,29,25,118,7.45,4.51,1
5.833,208,4.53,34.5,20,120,6.95,4.33,0
5.833,184,4.47,35,19,124,7.19,4.27,0
5.833,206,4.57,31,13,115,7.38,4.38,1
6.417,317,5.01,32.5,36,106,7.72,4.66,1
6.25,288,5.22,28,25,103,7.56,4.81,0
6.167,296,5.12,27.5,21,113,7.7,4.66,0
6.167,205,4.58,35,17,122,7.22,4.41,1
5.667,209,4.61,35.5,22,115,7.16,4.4,0
6.5,240,4.59,35,16,119,6.97,4.41,1
5.5,198,4.67,28,23,112,7.39,4.65,0
5.833,180,4.45,35,12,124,6.95,4.13,0
5.833,192,4.49,34.5,13,121,7.08,4.21,0
6.333,243,4.83,31,21,113,7.28,4.54,0
5.917,208,4.56,38,20,123,7.13,4.15,0
6.083,197,4.52,33,10,116,7.06,4.25,0
5.833,215,4.67,35,23,112,7.19,4.39,0
6.583,301,5.27,24,12,99,8.01,4.85,0
6.083,193,4.6,35.5,11,118,7.03,4.28,0
6.333,247,4.73,36,19,123,7.36,4.43,0
6.333,305,5.11,30,22,107,7.34,4.64,1
5.917,192,4.47,35,7,119,6.78,4.16,0
5.833,199,4.48,34.5,15,121,7.02,4.35,1
6.583,313,5.3,29.5,24,111,7.44,4.59,1
6.083,278,5.15,26,17,98,7.9,4.87,0
6.083,304,5.19,31,36,105,7.39,4.51,0
6.5,274,5.08,28.5,21,112,7.52,4.55,1
6.417,217,4.66,31,11,115,7.13,4.37,0
5.5,195,4.59,36,17,116,7.25,4.39,0
6.167,246,4.73,37.5,29,117,6.96,4.42,0
5.917,186,4.45,35.5,13,123,6.94,4.12,0
6.167,214,4.7,32,15,114,7.72,4.5,0
5.75,183,4.49,41,14,125,7.21,4.46,0
5.833,215,4.78,32,18,114,7.47,4.56,0
6.167,200,4.68,29.5,12,114,7.09,4.36,0
