"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Replies,"Sticker taps",Navigation,"Profile visits",Views,Follows,"Link clicks"
18043106842835131,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/24/2024 03:24",https://instagram.com/stories/atu_business/3374957048281875804,"IG story",,Lifetime,219,4,0,0,,248,1,,,
17882950170058923,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/23/2024 11:59",https://instagram.com/stories/atu_business/3374492405415331829,"IG story",,Lifetime,202,5,0,0,,250,1,,,
17995737080454506,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,6,"05/23/2024 07:16",https://instagram.com/stories/atu_business/3374349070956630086,"IG story",,Lifetime,191,3,0,0,,237,,,,
18020663870222162,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,10,"05/23/2024 06:50",https://instagram.com/stories/atu_business/3374344631008887552,"IG story",,Lifetime,198,4,0,0,2,231,,,,
17995001177448000,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/23/2024 01:44",https://instagram.com/stories/atu_business/3374182118581781679,"IG story",,Lifetime,219,3,0,0,,259,,,,
18009011687222369,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,6,"05/23/2024 00:42",https://instagram.com/stories/atu_business/3374151000931174266,"IG story",,Lifetime,225,4,0,0,,259,,,,
18044547028764348,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,6,"05/23/2024 00:34",https://instagram.com/stories/atu_business/3374147031030844734,"IG story",,Lifetime,231,4,0,0,,278,,,,
18024862517479102,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/23/2024 00:22",https://instagram.com/stories/atu_business/3374140652945903508,"IG story",,Lifetime,235,4,0,0,,290,1,,1,
17960241812638877,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/22/2024 23:25",https://instagram.com/stories/atu_business/3374112197640784643,"IG story",,Lifetime,703,5,0,0,12,285,,,,
18004729253304966,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/20/2024 12:13",https://instagram.com/stories/atu_business/3372324190559728304,"IG story",,Lifetime,268,4,0,0,,271,2,,,
