"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Sticker taps","Link clicks"
18155179243366820,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","WE’RE READYYY  #TOFT",20,"10/28/2025 08:03",https://instagram.com/stories/atu_business/3753430596576984125,"IG story",,Lifetime,410,296,4,1,,0,364,,
17853176055563974,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","ATU COBED is waiting for you in Rothwell 💚💛 #TOFT2025",0,"10/28/2025 07:17",https://instagram.com/stories/atu_business/3753407455184154458,"IG story",,Lifetime,2517,1626,10,1,2,0,315,,
18190805638332559,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,60,"10/27/2025 21:32",,"IG story",,Lifetime,326,259,5,0,1,0,281,,
18099900880736751,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"10/27/2025 07:33",,"IG story",,Lifetime,275,222,3,0,,0,229,,
17906224203127430,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","@atuagriculture_tourism  has the burgers  YUMM!!",0,"10/25/2025 11:49",,"IG story",,Lifetime,581,441,6,0,1,0,351,2,
17854046772511711,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Rain ain’t stopping banana",0,"10/25/2025 11:36",,"IG story",,Lifetime,391,320,4,0,,0,375,,
18371619640156014,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Professor Cass won earrings!! 😱 @leeannsfinejewelry",0,"10/25/2025 11:31",,"IG story",,Lifetime,395,322,4,0,1,0,373,6,
17928684615120465,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","S’mores station @atutourismsociety  Say no more 🤝",5,"10/25/2025 11:28",,"IG story",,Lifetime,399,325,4,0,,0,353,3,
17919249687056461,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Come gets some free Pom Poms!! Get ready to cheer our Wonderboys",3,"10/25/2025 11:24",,"IG story",,Lifetime,392,328,2,0,,0,289,,
17966595305974867,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","We’ve got the treats!",4,"10/25/2025 11:10",,"IG story",,Lifetime,396,330,5,0,,0,354,,
18394325698125169,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Tailgate with us!",0,"10/25/2025 11:08",,"IG story",,Lifetime,428,349,8,0,,0,366,,
17984743397907111,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"10/24/2025 12:06",,"IG story",,Lifetime,238,194,1,0,,0,216,,
18105512938622699,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","the best way to spend a rainy day is by supporting local businesses ☕️ stop by natural state to try their halloween menu! it’s scary good 👻",20,"10/24/2025 10:06",,"IG story",,Lifetime,894,704,1,0,,0,253,,
18105747622533984,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"10/23/2025 17:41",,"IG story",,Lifetime,374,277,7,0,,0,308,4,
18023925281761149,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/23/2025 12:30",,"IG story",,Lifetime,359,265,4,0,1,0,330,,
17928993342107071,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","We <3 our friends at @atulibrary  ATU librarian, Angela Black, stopped by Principles of Marketing to teach students about our library research resources!!",0,"10/23/2025 11:42",,"IG story",,Lifetime,399,285,4,0,,0,335,3,
18061176767446968,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","We ❤️ Jerry",0,"10/23/2025 09:29",,"IG story",,Lifetime,363,262,9,0,,0,340,,
18094352650631303,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","IT’S JERRY DAY  @arkansastechjerry",3,"10/23/2025 09:24",,"IG story",,Lifetime,365,275,5,0,,0,264,5,
18123127708504091,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","@kyliehkelly  @atucampuslife",0,"10/22/2025 14:36",,"IG story",,Lifetime,1386,829,4,0,1,0,381,7,
18045531224669260,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Todays career connection has been cancelled! We’ll resume with career connections next week!!",0,"10/22/2025 07:58",,"IG story",,Lifetime,483,346,1,0,,0,447,,
17864067057480379,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","just a normal day in personal branding… #ATUHomecoming",15,"10/22/2025 07:30",,"IG story",,Lifetime,2770,1545,1,0,,0,425,,
18129909298471034,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,42,"10/20/2025 10:50",,"IG story",,Lifetime,292,243,2,0,,0,261,,
17891144742223695,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Happy Monday",0,"10/20/2025 07:38",,"IG story",,Lifetime,462,355,7,1,2,0,346,7,
17925708744117169,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","show up and show out! 
Business Bucks may be involved 👀",0,"10/19/2025 09:15",,"IG story",,Lifetime,351,261,4,0,,0,288,,
18309893527216596,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","we got our
flu shots today! an amazing free resource for our students and campus thanks to @atunursing @atustudentwellness!",15,"10/15/2025 14:35",,"IG story",,Lifetime,343,267,11,0,,0,314,17,
18069757304365929,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","CA$H COW always carries Business Bucks Watch out 👀🐮",0,"10/15/2025 10:12",,"IG story",,Lifetime,382,261,4,0,1,0,359,,
18099551071637564,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,3,"10/15/2025 10:02",,"IG story",,Lifetime,401,261,0,1,2,0,226,,
18327308014234383,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","CA$H COW making some appearances",3,"10/15/2025 09:57",,"IG story",,Lifetime,370,265,4,0,2,0,227,,
18082536520805069,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/15/2025 09:54",,"IG story",,Lifetime,361,280,3,0,,0,321,,
18060973841393544,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"10/13/2025 07:28",,"IG story",,Lifetime,266,229,7,0,1,0,245,,
17856830649478025,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Had to stop for pizza before leaving the Windy City",0,"10/11/2025 12:07",https://instagram.com/stories/atu_business/3741232207009794860,"IG story",,Lifetime,306,254,4,0,,0,283,,
18155085304400038,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,46,"10/11/2025 06:41",https://instagram.com/stories/atu_business/3741068261522746643,"IG story",,Lifetime,284,229,3,0,,0,257,,
18527705743008835,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Chicago Skyline  Pt. 2 of touring downtown Chicago",0,"10/10/2025 19:20",https://instagram.com/stories/atu_business/3740725201764893518,"IG story",,Lifetime,258,198,2,0,,0,239,,
18130832791465270,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Pt. 1 of touring the city after the conference 

Fun times at the Fed Reserve in Chicago @t.roy.cramm 
 @abt.5 
 @adrian_falcon66 
 @aaron30watkins 
 @e.ellis28",0,"10/10/2025 19:13",https://instagram.com/stories/atu_business/3740721732488271416,"IG story",,Lifetime,634,465,4,0,,0,231,,
17923157025150223,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Dinner time!",14,"10/10/2025 19:10",https://instagram.com/stories/atu_business/3740720148039652625,"IG story",,Lifetime,235,199,0,0,,0,194,,
18324305992214427,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Mall trip",10,"10/10/2025 16:20",https://instagram.com/stories/atu_business/3740634616332845327,"IG story",,Lifetime,202,178,1,0,,0,172,,
18057541103628245,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,23,"10/10/2025 15:37",https://instagram.com/stories/atu_business/3740613362947295947,"IG story",,Lifetime,201,177,1,0,,0,182,,
17889679068358946,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,8,"10/10/2025 14:11",https://instagram.com/stories/atu_business/3740569923908450919,"IG story",,Lifetime,213,188,1,0,,0,182,,
17899130124292342,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,20,"10/10/2025 13:20",https://instagram.com/stories/atu_business/3740544367091447029,"IG story",,Lifetime,233,195,1,1,,0,190,,
18077381264146806,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","I beat SGA 11-0 but the cameras weren’t on",17,"10/10/2025 12:47",https://instagram.com/stories/atu_business/3740527458727940298,"IG story",,Lifetime,251,199,1,0,,1,218,,
17978673254917846,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,3,"10/10/2025 12:02",https://instagram.com/stories/atu_business/3740504900972434501,"IG story",,Lifetime,249,203,1,0,,0,193,,
18114090727537238,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Inside the Corporate Office",3,"10/10/2025 11:24",https://instagram.com/stories/atu_business/3740485872195345217,"IG story",,Lifetime,273,207,1,0,,0,196,,
18297067804255519,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Checking in!",1,"10/10/2025 11:04",https://instagram.com/stories/atu_business/3740475524344038299,"IG story",,Lifetime,262,212,1,0,,0,154,,
18083301937787020,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,10,"10/10/2025 10:49",https://instagram.com/stories/atu_business/3740468190108256385,"IG story",,Lifetime,263,219,2,0,,0,224,,
17869069926452650,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",Arrived!,14,"10/10/2025 10:46",https://instagram.com/stories/atu_business/3740466733988532760,"IG story",,Lifetime,278,222,4,0,,0,234,,
18131898622464793,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Great Parking!",13,"10/10/2025 08:26",https://instagram.com/stories/atu_business/3740396318276535029,"IG story",,Lifetime,363,259,7,0,1,0,292,,
17917747272055487,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","We are en route with Katie behind the wheel! Please keep us in your thoughts and prayers  Should be there around 12:30ish",0,"10/10/2025 06:56",https://instagram.com/stories/atu_business/3740351015238345452,"IG story",,Lifetime,431,267,4,0,3,0,377,,
18099724537654661,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","WE ARE BACK FOR ANOTHER TAKEOVER! Follow along as we head to OKC and tour the Paycom Center! (Formerly Chesapeake Energy Arena) Give me a follow @josiahhcarterr",0,"10/10/2025 06:55",https://instagram.com/stories/atu_business/3740350159726172454,"IG story",,Lifetime,417,269,4,0,,0,344,19,
18059058911413809,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Night 2 Eats! 
#smifcc2025",0,"10/09/2025 16:18",https://instagram.com/stories/atu_business/3739908866340326470,"IG story",,Lifetime,362,277,2,0,2,0,326,2,
18544846936028118,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Day 1 Sessions✅✅ @e.ellis28 @
 @adrian_falcon66 
 @abt.5 
 @aaron30watkins 
 @t.roy.cramm",0,"10/09/2025 14:37",https://instagram.com/stories/atu_business/3739858094659927573,"IG story",,Lifetime,808,588,5,0,,0,330,22,
