"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Sticker taps","Link clicks",Follows
18062085715832781,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Videographer is fired for cutting me off… Someone sponsor us so we can add intro music🙏🏼🙏🏼",60,"03/25/2025 08:57",https://instagram.com/stories/atu_business/3596182358160638456,"IG story",,Lifetime,193,159,2,0,0,163,,11,,
18495525361052793,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",Mother.,0,"03/25/2025 07:30",https://instagram.com/stories/atu_business/3596137752207501772,"IG story",,Lifetime,188,158,2,0,0,182,,,,
18029021570344347,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","DAY TWO:",0,"03/25/2025 07:03",https://instagram.com/stories/atu_business/3596123990242918926,"IG story",,Lifetime,1703,1552,1,0,0,179,,,,
17886339816246794,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,49,"03/25/2025 07:01",https://instagram.com/stories/atu_business/3596123064157539179,"IG story",,Lifetime,204,169,1,0,0,165,,,,
17901224577140776,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,60,"03/24/2025 20:18",https://instagram.com/stories/atu_business/3595799378191848292,"IG story",,Lifetime,212,167,2,0,0,176,,,,
18053136224268549,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",Studious😜,0,"03/24/2025 18:44",https://instagram.com/stories/atu_business/3595752058523923006,"IG story",,Lifetime,259,209,3,0,0,214,1,,,
17872655817317470,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,59,"03/24/2025 17:46",https://instagram.com/stories/atu_business/3595723611613409077,"IG story",,Lifetime,204,165,4,0,0,182,1,,,
17958645623778954,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/24/2025 15:14",,"IG story",,Lifetime,181,154,1,0,0,194,,14,,
18000667313598001,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,19,"03/24/2025 15:14",https://instagram.com/stories/atu_business/3595646333701230116,"IG story",,Lifetime,215,165,0,1,0,173,,,,
17878325250184167,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,24,"03/24/2025 13:52",https://instagram.com/stories/atu_business/3595611402188559014,"IG story",,Lifetime,223,167,2,1,0,193,1,,,
18023706140673440,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","New Whip🙌🏼 💚",0,"03/24/2025 13:41",https://instagram.com/stories/atu_business/3595599579452265105,"IG story",,Lifetime,213,170,2,0,0,204,,,,
17873516298312711,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,26,"03/24/2025 10:32",https://instagram.com/stories/atu_business/3595528423285865296,"IG story",,Lifetime,213,169,1,0,0,189,,,,
17947876010951914,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Family Dinner:",0,"03/24/2025 10:22",https://instagram.com/stories/atu_business/3595537085975221341,"IG story",,Lifetime,218,174,1,0,0,203,,,,
18049261727042480,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,49,"03/24/2025 08:30",https://instagram.com/stories/atu_business/3595443228229323572,"IG story",,Lifetime,230,183,0,0,0,212,,,,
18084892888625660,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,21,"03/24/2025 08:17",https://instagram.com/stories/atu_business/3595438670136597664,"IG story",,Lifetime,232,183,1,0,0,203,,,,
18068285788898610,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Way Finder",0,"03/24/2025 07:43",https://instagram.com/stories/atu_business/3595419463579817506,"IG story",,Lifetime,403,348,1,0,0,226,,,,
18004956215566370,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,35,"03/24/2025 06:35",https://instagram.com/stories/atu_business/3595396224795145378,"IG story",,Lifetime,235,194,3,1,0,214,,,,
17889019233227603,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","NYC DAY ONE:",0,"03/24/2025 06:16",https://instagram.com/stories/atu_business/3595375498851527622,"IG story",,Lifetime,1526,1309,3,0,0,264,,,,
18093635215493233,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,56,"03/23/2025 18:18",https://instagram.com/stories/atu_business/3595014252507753420,"IG story",,Lifetime,277,226,1,0,0,237,,,,
18352045897199333,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,40,"03/23/2025 17:06",https://instagram.com/stories/atu_business/3594978592392641227,"IG story",,Lifetime,278,233,3,0,0,238,,,,
17939983625987549,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"03/23/2025 15:12",https://instagram.com/stories/atu_business/3594920800000513947,"IG story",,Lifetime,1399,1124,4,0,0,323,,5,,
17963213078755524,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","The Arkansas State Flag was a paid actor",0,"03/23/2025 14:29",https://instagram.com/stories/atu_business/3594898920339855080,"IG story",,Lifetime,1562,1273,5,4,0,307,,,,
18039909797604819,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,60,"03/23/2025 13:39",https://instagram.com/stories/atu_business/3594888474593507751,"IG story",,Lifetime,310,250,5,0,0,299,,,,
