"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Sticker taps","Link clicks",Follows
18069671974587264,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"09/10/2024 09:02",,"IG story",,Lifetime,150,146,2,0,0,150,1,,,
18137187796353264,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"09/10/2024 10:48",,"IG story",,Lifetime,142,138,0,0,0,152,,,,
18041431148062323,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"09/11/2024 10:47",,"IG story",,Lifetime,147,142,0,0,0,154,1,,,
18051445942855006,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"09/11/2024 10:47",,"IG story",,Lifetime,140,138,0,0,0,151,1,,,
18352457584114587,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"09/12/2024 11:09",,"IG story",,Lifetime,203,196,3,0,0,208,2,,,
17990348423539986,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,10,"09/13/2024 09:34",https://instagram.com/stories/atu_business/3456318398483803076,"IG story",,Lifetime,225,196,1,0,0,178,3,,,
18079198867473746,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"09/14/2024 06:14",,"IG story",,Lifetime,163,157,3,0,0,159,1,,,
18042770197995686,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"09/15/2024 14:14",,"IG story",,Lifetime,205,193,2,2,0,214,1,,,
18037034651485118,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","THM takeover 🇩🇪🇺🇸",0,"09/16/2024 07:59",https://instagram.com/stories/atu_business/3458444607153897503,"IG story",,Lifetime,296,244,4,0,0,264,,,,
18073060660506415,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","campus tour with our Good as Gold Ambassador @pauvgp!  #THMTakeover",0,"09/16/2024 10:27",https://instagram.com/stories/atu_business/3458519224575036659,"IG story",,Lifetime,1546,1392,3,0,0,272,1,30,,
18035006222180306,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",#THMTakeover,0,"09/16/2024 10:28",https://instagram.com/stories/atu_business/3458519763702463622,"IG story",,Lifetime,282,233,2,0,0,310,,,,
18051844435843167,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","catching up after a few months <3 #THMtakeover",0,"09/16/2024 16:16",https://instagram.com/stories/atu_business/3458694784760670934,"IG story",,Lifetime,282,228,1,0,0,260,,2,,
