"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18016472567741742,17841401497413900,karson.hutchins,"Karson Hutchins","Happy First Day of Class! 📚✏️📖

#atubusiness #goodasgold",0,"08/20/2025 12:43",https://www.instagram.com/p/DNlsh_0PU4b/,"IG carousel",,Lifetime,3670,133,0,5,0,,
18061266323590436,17841405084435214,elis.gergel,,"First day of class! Happy to be back at the @atu_business 🫶🏻 Starting my 3rd year with a lot of excitement and energy as I’ll be serving as a Good as Gold Ambassador 💚💛 Have a good first day of class everyone! 💫",0,"08/20/2025 07:31",https://www.instagram.com/p/DNlIzy3ACW_/,"IG carousel",,Lifetime,5200,171,1,12,0,,
17852558430525536,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","When your roommate has an 8 AM but you’ve already planned a revolution by 7:59 ✨🎩

Have a great first day of class! 💚💛

The weird thing is… I already had this costume 🤷🏼‍♀️

#FirstDay #ATUbusiness #HeckYeahTechYeah #BackToSchool #Trending #trendingreel #alexandercomebacktosleep",27,"08/20/2025 05:11",https://www.instagram.com/reel/DNk4dlCxerd/,"IG reel",,Lifetime,2985,125,7,4,0,1709,1
17982185678886429,17841407390794753,will_aaron89,"Will Aaron","Felt good to be back on campus yesterday at the ATU involvement fair! Got to talk to new students about @atunuclearvoice and @arnuclearvoice and explore other clubs but more importantly I won a large pizza from Papa John’s 🍕",0,"08/19/2025 10:03",https://www.instagram.com/p/DNi1bzMtcOw/,"IG carousel",,Lifetime,5954,186,0,11,0,,
18098776102537438,17841410872455833,wapiti_hunter_oak_mefford,"Wapiti Mefford","Nothing but business at the Involvement Fair with Jerry 🐾💼. Appreciate everyone who dropped by our table and took a picture with Jerry. Wishing you all a great year 💚💛",0,"08/19/2025 09:15",https://www.instagram.com/p/DNiv4uhtYqn/,"IG carousel",,Lifetime,9624,148,12,0,0,,
18049988192251125,17841402105162969,hannahhhardesty,"💟 hannah hardesty!! 𖦹","LAST DAY OF ORIENTATION!! so blessed to have been able to be apart of this team",0,"08/19/2025 05:03",https://www.instagram.com/p/DNiTEVGR6Bm/,"IG carousel",,Lifetime,7176,182,4,11,0,,
17874657705402113,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","me: a normal social media manager (literally just a girl)
also me: leading an army of college students in a campaign to summon the @jonasbrothers to @arkansastech 🫡💚💛

This is our S.O.S. 🚨 We need a miracle and a setlist 👀 Kevin. Joe. Nick. The stage is waiting.

Tag the Jonas Brothers 👇🏼Let’s bring them to campus! 

#WeWantTheJonasBrothers #HeckYeahTechYeah #JonasBrothers #CollegeLife #ArkansasTech #Delusional #Manifesting",34,"08/18/2025 20:30",https://www.instagram.com/reel/DNhXinCMFs0/,"IG reel",,Lifetime,10495,390,63,9,6,6075,5
18021792377733296,17841410872455833,wapiti_hunter_oak_mefford,"Wapiti Mefford","Move in day 2025-
Powered by golf carts & popsicles 🍦🏎️ Making move-in a little cooler at Arkansas Tech University!",0,"08/17/2025 16:15",https://www.instagram.com/p/DNeWZjtPxL2/,"IG carousel",,Lifetime,7753,147,0,1,0,,
17855978385497255,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Dean Cole IS the moment 💁🏼‍♀️

#atubusiness #heckyeahtechyeah #collegelife #trending #trendingreel",13,"08/15/2025 08:36",https://www.instagram.com/reel/DNYX-B6xKx8/,"IG reel",,Lifetime,20850,853,54,14,14,12553,5
17859761289464660,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","🤩 GIVEAWAY 🤩

We’ve got your back… literally🎒

New school year, fresh gear. Start the semester with a new North Face backpack. 🎯

Here’s how to enter:
💚 Follow @atu_business & @atuagriculture_tourism 
💛 Tell us what you’re most looking forward to this year and tag a friend
💚 Bonus: Share this post to your story & tag us for an extra entry!

Giveaway ends at 3 PM on Tuesday, August 19th. Two lucky winners will be notified soon after. Good luck! 🍀

#giveawayalert #backtoschool #collegelife
#atubusiness #heckyeahtechyeah #giveaway",0,"08/12/2025 10:32",https://www.instagram.com/p/DNQ3KvJR7D4/,"IG carousel",,Lifetime,17565,261,100,113,5,6598,13
18039600956403047,17841404433938418,atugradcollege,"ATU Graduate College","Here at ATU, we don’t let the good ones get away. Our applications are open if you’re looking for your next step 🫶🏻 
#ATUGrad #applytoday #justiceforemma #emmalicious2x #collegeadmissions",22,"08/11/2025 13:36",https://www.instagram.com/reel/DNOm4ezhEl8/,"IG reel",,Lifetime,8496,213,18,3,0,,
18359291062159879,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Changing of the guard 🫡

#GraduateAssistant #ATU #ATUbusiness #heckyeahtechyeah #GradLife #collegelife",6,"08/11/2025 11:27",https://www.instagram.com/reel/DNOYQMcRy_6/,"IG reel",,Lifetime,5245,110,8,6,1,2689,1
18311786560244386,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Out of sight, out of mind

#heckyeahtechyeah #collegelife #atubusiness #blackboard #trending",4,"08/08/2025 13:51",https://www.instagram.com/reel/DNG6VQ7Reyt/,"IG reel",,Lifetime,7334,407,70,5,10,4219,3
18051657572631142,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Worth a shot I guess… 

#collegelife #heckyeahtechyeah #atubusiness #lizard #trending",11,"08/04/2025 11:14",https://www.instagram.com/reel/DM8Vcclx1pS/,"IG reel",,Lifetime,12718,535,194,3,11,10243,0
