"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Comments,Saves,Follows
18209601742322957,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Dearest Gentle Reader,

It has reached this author’s ears that a most distinguished guest is set to grace our beloved campus. While some spend their days perfecting their choreography, much like the charming display seen here, others are preparing for a gathering of much greater significance.

The ton is abuzz with the news that the LeMoyne Smith School of Business will welcome the incomparable Mrs. Cindi Ferguson for the Distinguished Lecture Series. An entrepreneur of the highest standing and a true benefactor of our “village,” Mrs. Ferguson shall share her wisdom before we celebrate the grand opening of the very union that bears her name.

One must wonder... will you be there to witness such a momentous occasion, or will you be left to read about it in the morning papers?

The Details for your Social Calendar:
✨ The Lecture: Wednesday, March 18 at 10:00 a.m.
📍 The Venue: Doc Bryan Lecture Hall

Do try not to be late. It would be a scandal to miss it.

Yours Truly,

Lady Whistledown ✍️

#Bridgerton #LadyWhistledown #HeckYeahTechYeah #CollegeLife #ATUBusiness",15,"03/16/2026 11:12",https://www.instagram.com/reel/DV9G_uSkpcr/,"IG reel",,Lifetime,3853,2450,93,20,3,1,1
18093759794086058,17841451736025184,atufbla,"FBLA Collegiate at Arkansas Tech","ATU FBLA-C competed at Arkansas FBLA Collegiate State Leadership Conference today and walked away with 22 awards! Every student who competed has qualified for National Leadership Conference this summer!

- 1st place, State of Chapter - Madison Mertens & Morgan Blamey
- 1st place, Foundations of Finance - Avery Emmerling
- 1st place, Foundations of Management - Rilee Underwood
- 1st place, Business Ethics - Joy Skaggs
- 1st place, Business Presentation - Madison Mertens & Morgan Blamey
- 1st place, Future Business Facilitator - Briley Parker 
- 1st place, Technology and Computer Science Case Study - Larry Desiderio
- 2nd place, Foundations of Accounting - Harrison Bartlett
- 2nd place, Foundations of Economics - Avery Emmerling
- 2nd place, Foundations of Hospitality Management - Camrin Woodson
- 2nd place, Foundations of Marketing - Rose Gunther
- 2nd place, Organizational Behavior and Leadership - Olivia Mosby
- 2nd place, Retail Management - Morgan Blamey 
- 2nd place, Emerging Business Issues - Larry Desiderio & Bailey Parker 
- 2nd place, Entrepreneurship Pitch - Tyler Parker
- 2nd place, Job Interview - Wapiti Mefford
- 3rd place, Business Law - Madison Mertens
- 3rd place, Foundation of Communications - Andrea Guerrero
- 3rd place, Project Management - Tyler Parker
- 4th place, Sports Marketing and Management - Rose Gunther
- 4th place, Impromptu Speaking - JD Olivarez 
- 4th place, Public Speaking - Olivia Mosby

#arfblacollegiate #fbla #arkansastech",0,"03/12/2026 16:31",https://www.instagram.com/p/DVzYvZFiRvU/,"IG carousel",,Lifetime,3318,1374,92,11,4,0,
18108938173696799,17841451736025184,atufbla,"FBLA Collegiate at Arkansas Tech","wishing our members a very happy state conference day 💙💛

#arfblacollegiate #arkansastech #atubusiness #fbla #collegelife",7,"03/11/2026 19:34",https://www.instagram.com/reel/DVxIqYrjS3V/,"IG reel",,Lifetime,3154,1586,68,9,7,0,
18086410630957021,17841406871681973,graciee_potter04,"Gracie Potter","Big ideas. Real skills. Future careers. 💼

Students connected with professionals, gained real-world advice, and learned how to stand out in today’s job market! From interview strategies to AI tools and personal branding, the day was filled with valuable insights to help students prepare for life after graduation. The College to Career Conference was a success‼️",0,"03/05/2026 10:00",https://www.instagram.com/p/DVgxQQdCSr1/,"IG carousel",,Lifetime,2952,1056,87,4,0,0,
17848966728689602,17841405084435214,elis.gergel,,"#HERFEST vibes ✨ Decorated my own travel bag and had a good time at Women’s Week! 💗",0,"03/03/2026 19:21",https://www.instagram.com/p/DVcn3Pdjq8Z/,"IG carousel",,Lifetime,1725,714,105,0,0,0,
18177355735339043,17841407390794753,will_aaron89,"Will Aaron","Thank you to Keathly Patterson for stopping by this week and informing us on their internship opportunities and careers!",0,"02/28/2026 12:23",https://www.instagram.com/p/DVUJp7ekmOV/,"IG carousel",,Lifetime,2445,910,71,2,0,0,
17877500430397495,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","You get the best of both worlds at our annual College to Career Conference 🎤💼

✨ All business, agriculture & tourism classes canceled so you can attend

✨ Breakout sessions on AI, interviewing, LinkedIn, digital marketing & hospitality

✨ Industry leaders from Walmart, PwC, Tyson, Big Cedar Lodge & more

Need a business casual or business professional outfit? Borrow for FREE through @atucareercloset 

#CollegeToCareer #ProfessionalDevelopment #ATUbusiness #heckyeahtechyeah #collegelife",31,"02/24/2026 14:47",https://www.instagram.com/reel/DVKGBDZkiwW/,"IG reel",,Lifetime,1843,943,26,3,2,0,0
18080080913597397,17841410872455833,wapiti_hunter_oak_mefford,"Wapiti Mefford","POV: You just found your future home💚💛

Big shoutout to all the students who came out to see what Arkansas Tech & The College of Business and Economic Development is all about.",0,"02/20/2026 18:08",https://www.instagram.com/p/DVAK0hdgA9q/,"IG carousel",,Lifetime,2133,741,58,1,0,0,
18091079318019320,17841451736025184,atufbla,"FBLA Collegiate at Arkansas Tech","Do you feel Bonita?✨

We hope so, because we’re ready to see you get your FREE professional headshot!

📆 Tues. February 24
⏰ 3-6PM
📍 RCB 146

This event is provided for ATU students and faculty at no charge!

In collaboration with Norman Career Services

#ATUBusiness #ArkansasTech #arfblacollegiate",18,"02/20/2026 12:02",https://www.instagram.com/reel/DU_ghxsiWK5/,"IG reel",,Lifetime,3832,2450,91,11,1,0,
17994410762752804,17841404433938418,atugradcollege,"ATU Graduate College","For the second year in a row, Arkansas Tech University has been named the Best Online MBA in Arkansas by U.S. News & World Report 🎉

Recognized for engagement, faculty excellence, student achievement, and innovative learning, the ATU MBA is built for working professionals ready to advance in management and leadership.

Offered through the ATU LeMoyne Smith School of Business and AACSB accredited, this program continues to set the standard for graduate business education in the state💚",0,"02/20/2026 10:45",https://www.instagram.com/p/DU_YJFuAciv/,"IG carousel",,Lifetime,1899,850,74,2,2,0,
