"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18057446333170385,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","EASTCON JUMBO JERRY GIVEAWAY 💚💛

Are you an EastCon attendee and want to win this jumbo Jerry the Bulldog?

💚 Fill out the QR code at our booth
💛 Follow us
💚 Comment your favorite part of EastCon!
⭐️ Extra entry: use our story check-in!

Drawing tomorrow (Thursday) at 

Good luck!

#EastCon2025 #ATUBusiness #ArkansasTech #HeckYeahTechYeah",0,"03/19/2025 08:26",https://www.instagram.com/p/DHYssF8gXND/,"IG carousel",,Lifetime,1049,72,2,28,0,516,0
17863818822359853,17841403918223670,ashley_.m,"Ashley Muller ☻","Day in my life as a senior double majoring in accounting & business management! It was amazing the amount of opportunities I had just in this one day! The Becker CPA presentation and the Marc Lore fireside chat were so informative! 💚🎓📝 #goodasgold #collegeofbusiness #accounting #BeckerCPA #MarcLore",56,"03/18/2025 15:59",https://www.instagram.com/reel/DHW7aiGOk33/,"IG reel",,Lifetime,3282,128,8,4,0,,
18044361896342165,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","🚨 TOMORROW! 🚨 Don’t miss your chance to hear from @marclore, billionaire entrepreneur, former CEO of Walmart eCommerce, and founder of Jet.com! 🚀

Join us Tuesday, March 18, at 4:45 PM for a free virtual event where Marc will share his insights on business, innovation, and leadership. 💡

🎟 Open to the public
💰 ATU students earn $50 Business Bucks + giveaway entry!

🔗 Join via the link in our Instagram bio or access the event on Facebook. See you there!

 #ATUBusiness #MarcLore #futureleaders #entrepreneur #collegelife #heckyeahtechyeah #campuslife",16,"03/17/2025 14:58",https://www.instagram.com/reel/DHUPG0pRPJx/,"IG reel",,Lifetime,1642,25,2,0,0,864,0
17963036813884123,17841451736025184,atufbla,"FBLA Collegiate at Arkansas Tech","pretty patties? no, they’re pretty rocks 🪨

our rock painting event made 68 rocks to beautify our campus and boost morale! how cool is that? 

#atubusiness #arfblacollegiate #aturocksproject #arkansastech",7,"03/16/2025 12:30",https://www.instagram.com/reel/DHRaO1sRwy1/,"IG reel",,Lifetime,2423,52,4,3,0,,
18300480169210835,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","✨ Women in Business: A Recipe for Success ✨
 
Behind every great restaurant is a passionate leader, and at Kasper’s, that’s Angela Kasper! Her commitment to hospitality, quality, and community has made Kasper’s a standout in Clarksville. With award nominations, a loyal customer base, and a second location opening soon in Dardanelle, her impact on the local dining scene is undeniable. Cheers to women making history in business!

#WomenWhoLead #ClarksvilleAR #WomenInHospitality #SupportLocal #ShopSmall #WomenInBusiness #FemaleEntrepreneurs #ATUBusiness #asbtdc",0,"03/15/2025 16:00",https://www.instagram.com/p/DHPNe8VRADb/,"IG carousel",,Lifetime,932,38,0,0,0,420,0
18034095182287275,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Don’t miss out on an exciting opportunity to join a virtual Fireside Chat with Marc Lore on March 18th at 4:45 PM via WebEx! 🌟 As a bonus, all student attendees will receive $50 in Business Bucks, and you’ll also be entered into a drawing for a chance to win a cozy blanket!🏆

This event is open to all community members, so whether you’re a student or part of the broader community, everyone is welcome to join! 

Be sure to click the link in our bio or scan the flyers around Rothwell to tune in and be part of this incredible experience. See you there! 🎥

#atubusiness #atu2025 #arkansastech #businessstudent",8,"03/14/2025 16:00",https://www.instagram.com/reel/DHMomdzPtHV/,"IG reel",,Lifetime,1396,39,2,2,1,693,1
18025654427397121,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","What a week!

✨ Yesterday: We had the honor of welcoming Arden Cornwell Johnson as our College to Career Conference Distinguished Speaker! She shared incredible career insights, and with her grandfather, Sam Hindsman, being part of ATU’s rich history, it was a meaningful connection to our tradition of excellence.

🌾 Today: We welcomed 1,700 FFA students and teachers to campus! From competitions to conversations about their futures, we loved seeing their passion for agriculture and business in action. Hope to see some of you back at ATU soon!

#ATUBusiness #collegelife #FFA #heckyeahtechyeah #conference",0,"03/13/2025 17:26",https://www.instagram.com/p/DHKNs69xVjc/,"IG carousel",,Lifetime,4128,147,13,4,0,2167,2
18487882825059237,17841401497413900,karson.hutchins,"Karson Hutchins","I had a wonderful time at the College to Career Conference today! The conference contained 5 different breakout sessions and a distinguished speaker! I learned so much about Self Branding and Social Media!! 

#goodasgold #atubusiness #go2atu",0,"03/12/2025 15:30",https://www.instagram.com/p/DHHbpxGPP95/,"IG carousel",,Lifetime,3431,130,5,0,0,,
18133089955399385,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","This Women’s History Month, the College of Business and Economic Development is highlighting amazing women in Business, Agriculture, and Tourism in our community ✨

Today, we are honoring the remarkable impact of Danielle and Sidney from Main Street Russellville! These dynamic women are at the heart of some of the most anticipated events in our community, including the acclaimed Moon Over Main eclipse festival, Art Walk, and Fall Festival. Their tireless work behind the scenes not only enhances the local culture, but also plays a key role in driving tourism to Russellville!

Recently recognized with the Natural State Tourism Development Award at the 2025 Henry Awards, Danielle and Sidney are essential to the economic growth of our town through their event planning, collaboration, and unwavering commitment to creating memorable experiences for all. Their contributions to both the tourism sector and the community at large are truly invaluable!

We’re especially proud to highlight Sidney as a management student in our department, where she continues to apply the skills and knowledge she gains in the classroom to her work in the community. Her ability to balance her academic pursuits with her role in shaping local tourism is a true testament to her dedication and leadership!

{ #ATUBusiness #ArkansasTech #WomensHistoryMonth #ATU2025 #RussellvilleAR #ArkansasLife #ArkansasMade #WomensMonth #WomenInBusiness }",0,"03/07/2025 11:00",https://www.instagram.com/p/DG6LnRNAihr/,"IG carousel",,Lifetime,1611,47,2,0,0,785,0
18071977831761898,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","We’re basically the campus version of the Federal Reserve. Printing Business Bucks and making it rain 💸 Interest rates? We don’t know her. 💁🏼‍♀️

@laurenrmassey @jayshandcrafts @blockgracyn @karson.hutchins 

#cashmeoutside #businessbucks
#collegelife #heckyeahtechyeah #viralcollege",69,"03/06/2025 16:00",https://www.instagram.com/reel/DG4JJsYRaoY/,"IG reel",,Lifetime,2482,43,12,1,1,1428,0
